Host_Death_Time,Host_Build,Level,Phase,Waterflow_Death,Health_Pct,Location,Phantom_Count,Phantom_Build,Phantom_Death
299.0,RAW_MELEE,124.0,2.0,True,66.0,INNER,2.0,RAW_MELEE,True
261.0,HYBRID,169.0,2.0,True,92.0,CENTER,2.0,PROC_CAST,True
148.0,PROC_MELEE,179.0,1.0,True,93.0,INNER,1.0,,
247.0,RAW_CAST,141.0,2.0,False,89.0,INNER,2.0,RAW_MELEE,False
163.0,PROC_CAST,126.0,1.0,True,64.0,INNER,2.0,PROC_MELEE,True
248.0,PROC_MELEE,134.0,2.0,False,40.0,CENTER,1.0,,
205.0,HYBRID,157.0,2.0,False,49.0,CENTER,2.0,PROC_MELEE,False
73.0,HYBRID,172.0,1.0,True,86.0,INNER,2.0,PROC_CAST,True
292.0,RAW_CAST,133.0,1.0,True,12.0,INNER,2.0,HYBRID,False
147.0,PROC_MELEE,177.0,1.0,False,65.0,INNER,1.0,,
79.0,RAW_CAST,137.0,1.0,False,62.0,OUTER,2.0,PROC_CAST,False
159.0,RAW_MELEE,139.0,2.0,False,21.0,INNER,2.0,HYBRID,False
276.0,RAW_MELEE,180.0,1.0,False,21.0,INNER,1.0,,
288.0,PROC_MELEE,173.0,2.0,False,71.0,OUTER,2.0,PROC_MELEE,True
131.0,PROC_CAST,152.0,2.0,True,45.0,CENTER,2.0,RAW_CAST,True
141.0,RAW_CAST,140.0,2.0,False,27.0,CENTER,1.0,,
80.0,PROC_CAST,142.0,2.0,True,45.0,INNER,2.0,HYBRID,True
228.0,PROC_CAST,132.0,2.0,False,20.0,INNER,1.0,,
223.0,HYBRID,156.0,2.0,True,9.0,OUTER,1.0,,
286.0,RAW_MELEE,139.0,1.0,False,83.0,CENTER,2.0,HYBRID,False
166.0,PROC_CAST,120.0,1.0,False,55.0,INNER,1.0,,
252.0,RAW_MELEE,141.0,2.0,False,66.0,INNER,2.0,PROC_CAST,True
241.0,PROC_MELEE,120.0,2.0,True,51.0,CENTER,2.0,RAW_CAST,True
55.0,RAW_CAST,167.0,1.0,True,69.0,CENTER,2.0,PROC_MELEE,False
193.0,HYBRID,158.0,2.0,True,6.0,CENTER,2.0,PROC_CAST,True
251.0,RAW_CAST,123.0,2.0,False,23.0,OUTER,2.0,RAW_MELEE,True
72.0,RAW_CAST,153.0,1.0,False,27.0,INNER,2.0,RAW_CAST,False
235.0,PROC_MELEE,126.0,2.0,False,7.0,INNER,2.0,RAW_CAST,False
44.0,PROC_MELEE,137.0,2.0,True,68.0,OUTER,1.0,,
182.0,RAW_MELEE,131.0,1.0,False,81.0,OUTER,2.0,HYBRID,True
254.0,PROC_MELEE,168.0,1.0,False,19.0,INNER,2.0,RAW_MELEE,True
259.0,HYBRID,122.0,1.0,True,83.0,INNER,2.0,RAW_CAST,False
42.0,PROC_MELEE,167.0,1.0,False,47.0,CENTER,2.0,PROC_MELEE,True
271.0,RAW_CAST,174.0,2.0,True,85.0,CENTER,2.0,PROC_MELEE,True
239.0,PROC_CAST,128.0,1.0,True,71.0,OUTER,2.0,PROC_MELEE,False
137.0,RAW_CAST,132.0,2.0,True,25.0,INNER,2.0,PROC_CAST,False
247.0,PROC_CAST,138.0,2.0,False,29.0,CENTER,2.0,PROC_MELEE,False
154.0,RAW_MELEE,131.0,1.0,True,86.0,OUTER,1.0,,
269.0,RAW_MELEE,133.0,2.0,True,71.0,CENTER,1.0,,
291.0,RAW_CAST,151.0,2.0,True,76.0,INNER,2.0,PROC_MELEE,True
209.0,RAW_CAST,176.0,2.0,False,81.0,CENTER,2.0,RAW_MELEE,True
94.0,PROC_MELEE,169.0,2.0,True,76.0,CENTER,1.0,,
279.0,PROC_CAST,124.0,2.0,False,89.0,OUTER,1.0,,
255.0,HYBRID,140.0,1.0,True,14.0,INNER,2.0,HYBRID,True
254.0,RAW_MELEE,122.0,1.0,True,56.0,CENTER,2.0,PROC_MELEE,True
197.0,RAW_CAST,137.0,1.0,True,12.0,OUTER,2.0,RAW_MELEE,False
281.0,RAW_CAST,123.0,2.0,True,43.0,INNER,1.0,,
188.0,PROC_CAST,174.0,1.0,True,43.0,INNER,1.0,,
159.0,RAW_MELEE,143.0,2.0,False,80.0,INNER,1.0,,
124.0,PROC_MELEE,179.0,1.0,False,32.0,CENTER,2.0,RAW_CAST,True
72.0,PROC_CAST,152.0,2.0,False,82.0,CENTER,1.0,,
198.0,RAW_CAST,121.0,2.0,False,10.0,OUTER,1.0,,
264.0,PROC_MELEE,131.0,2.0,True,58.0,CENTER,1.0,,
193.0,PROC_MELEE,129.0,1.0,False,92.0,CENTER,2.0,PROC_CAST,False
255.0,PROC_MELEE,122.0,2.0,True,54.0,OUTER,2.0,RAW_CAST,False
60.0,HYBRID,176.0,1.0,False,66.0,CENTER,1.0,,
194.0,HYBRID,153.0,2.0,True,44.0,INNER,2.0,PROC_MELEE,False
118.0,PROC_MELEE,173.0,1.0,True,93.0,OUTER,2.0,RAW_MELEE,True
284.0,RAW_MELEE,146.0,2.0,True,19.0,INNER,2.0,PROC_CAST,False
166.0,PROC_MELEE,170.0,2.0,False,17.0,INNER,1.0,,
89.0,PROC_CAST,121.0,1.0,True,60.0,OUTER,1.0,,
95.0,HYBRID,174.0,2.0,True,49.0,CENTER,1.0,,
90.0,RAW_MELEE,145.0,1.0,False,22.0,OUTER,2.0,RAW_CAST,True
261.0,RAW_MELEE,123.0,1.0,False,14.0,CENTER,2.0,RAW_MELEE,False
215.0,RAW_CAST,164.0,2.0,True,49.0,INNER,1.0,,
183.0,PROC_CAST,120.0,1.0,True,14.0,OUTER,2.0,RAW_MELEE,True
93.0,RAW_MELEE,131.0,2.0,False,83.0,INNER,1.0,,
62.0,RAW_CAST,135.0,1.0,True,63.0,OUTER,2.0,RAW_CAST,False
68.0,RAW_CAST,121.0,1.0,True,82.0,OUTER,2.0,HYBRID,True
265.0,PROC_MELEE,148.0,1.0,False,60.0,INNER,2.0,PROC_CAST,True
129.0,RAW_MELEE,171.0,1.0,True,70.0,CENTER,2.0,RAW_CAST,True
55.0,PROC_CAST,166.0,1.0,True,39.0,INNER,2.0,RAW_MELEE,True
150.0,PROC_MELEE,169.0,1.0,False,22.0,OUTER,2.0,RAW_MELEE,True
185.0,PROC_CAST,139.0,2.0,False,92.0,CENTER,1.0,,
234.0,PROC_MELEE,143.0,1.0,False,56.0,CENTER,2.0,PROC_CAST,True
244.0,PROC_MELEE,169.0,2.0,False,62.0,INNER,2.0,RAW_MELEE,False
98.0,HYBRID,124.0,2.0,False,40.0,OUTER,2.0,RAW_CAST,False
217.0,PROC_MELEE,154.0,1.0,False,65.0,CENTER,2.0,PROC_MELEE,False
291.0,RAW_CAST,176.0,2.0,True,15.0,OUTER,1.0,,
68.0,PROC_CAST,141.0,2.0,True,90.0,OUTER,2.0,PROC_CAST,False
174.0,HYBRID,142.0,2.0,True,45.0,INNER,1.0,,
273.0,PROC_CAST,176.0,2.0,True,38.0,OUTER,2.0,PROC_CAST,True
216.0,RAW_MELEE,132.0,2.0,False,20.0,CENTER,2.0,RAW_MELEE,False
294.0,RAW_CAST,161.0,1.0,True,40.0,OUTER,1.0,,
277.0,RAW_MELEE,165.0,2.0,True,26.0,INNER,1.0,,
254.0,RAW_CAST,149.0,2.0,True,69.0,OUTER,1.0,,
285.0,RAW_MELEE,139.0,2.0,True,48.0,OUTER,2.0,HYBRID,False
297.0,RAW_MELEE,129.0,1.0,True,78.0,INNER,2.0,HYBRID,False
178.0,RAW_MELEE,149.0,1.0,True,39.0,OUTER,2.0,PROC_MELEE,True
182.0,RAW_CAST,138.0,1.0,True,81.0,OUTER,1.0,,
163.0,PROC_CAST,133.0,1.0,False,18.0,CENTER,2.0,RAW_MELEE,False
155.0,PROC_MELEE,162.0,1.0,False,85.0,OUTER,2.0,RAW_MELEE,True
72.0,RAW_MELEE,130.0,2.0,False,35.0,OUTER,2.0,RAW_CAST,True
170.0,PROC_MELEE,127.0,2.0,True,87.0,OUTER,2.0,RAW_CAST,True
130.0,PROC_MELEE,135.0,1.0,True,63.0,CENTER,1.0,,
74.0,PROC_CAST,125.0,1.0,False,28.0,INNER,2.0,RAW_CAST,True
89.0,PROC_CAST,158.0,2.0,False,87.0,OUTER,1.0,,
