id_registro,Host_Death_Time,Host_Build,Level,Phase,Waterflow_Death,Health_Pct,Location,id_phantom
1,299.0,1,124.0,2.0,True,66.0,INNER,1
2,261.0,5,169.0,2.0,True,92.0,CENTER,2
3,148.0,3,179.0,1.0,True,93.0,INNER,3
4,247.0,2,141.0,2.0,False,89.0,INNER,4
5,163.0,4,126.0,1.0,True,64.0,INNER,5
6,248.0,3,134.0,2.0,False,40.0,CENTER,6
7,205.0,5,157.0,2.0,False,49.0,CENTER,7
8,73.0,5,172.0,1.0,True,86.0,INNER,8
9,292.0,2,133.0,1.0,True,12.0,INNER,9
10,147.0,3,177.0,1.0,False,65.0,INNER,10
11,79.0,2,137.0,1.0,False,62.0,OUTER,11
12,159.0,1,139.0,2.0,False,21.0,INNER,12
13,276.0,1,180.0,1.0,False,21.0,INNER,13
14,288.0,3,173.0,2.0,False,71.0,OUTER,14
15,131.0,4,152.0,2.0,True,45.0,CENTER,15
16,141.0,2,140.0,2.0,False,27.0,CENTER,16
17,80.0,4,142.0,2.0,True,45.0,INNER,17
18,228.0,4,132.0,2.0,False,20.0,INNER,18
19,223.0,5,156.0,2.0,True,9.0,OUTER,19
20,286.0,1,139.0,1.0,False,83.0,CENTER,20
21,166.0,4,120.0,1.0,False,55.0,INNER,21
22,252.0,1,141.0,2.0,False,66.0,INNER,22
23,241.0,3,120.0,2.0,True,51.0,CENTER,23
24,55.0,2,167.0,1.0,True,69.0,CENTER,24
25,193.0,5,158.0,2.0,True,6.0,CENTER,25
26,251.0,2,123.0,2.0,False,23.0,OUTER,26
27,72.0,2,153.0,1.0,False,27.0,INNER,27
28,235.0,3,126.0,2.0,False,7.0,INNER,28
29,44.0,3,137.0,2.0,True,68.0,OUTER,29
30,182.0,1,131.0,1.0,False,81.0,OUTER,30
31,254.0,3,168.0,1.0,False,19.0,INNER,31
32,259.0,5,122.0,1.0,True,83.0,INNER,32
33,42.0,3,167.0,1.0,False,47.0,CENTER,33
34,271.0,2,174.0,2.0,True,85.0,CENTER,34
35,239.0,4,128.0,1.0,True,71.0,OUTER,35
36,137.0,2,132.0,2.0,True,25.0,INNER,36
37,247.0,4,138.0,2.0,False,29.0,CENTER,37
38,154.0,1,131.0,1.0,True,86.0,OUTER,38
39,269.0,1,133.0,2.0,True,71.0,CENTER,39
40,291.0,2,151.0,2.0,True,76.0,INNER,40
41,209.0,2,176.0,2.0,False,81.0,CENTER,41
42,94.0,3,169.0,2.0,True,76.0,CENTER,42
43,279.0,4,124.0,2.0,False,89.0,OUTER,43
44,255.0,5,140.0,1.0,True,14.0,INNER,44
45,254.0,1,122.0,1.0,True,56.0,CENTER,45
46,197.0,2,137.0,1.0,True,12.0,OUTER,46
47,281.0,2,123.0,2.0,True,43.0,INNER,47
48,188.0,4,174.0,1.0,True,43.0,INNER,48
49,159.0,1,143.0,2.0,False,80.0,INNER,49
50,124.0,3,179.0,1.0,False,32.0,CENTER,50
51,72.0,4,152.0,2.0,False,82.0,CENTER,51
52,198.0,2,121.0,2.0,False,10.0,OUTER,52
53,264.0,3,131.0,2.0,True,58.0,CENTER,53
54,193.0,3,129.0,1.0,False,92.0,CENTER,54
55,255.0,3,122.0,2.0,True,54.0,OUTER,55
56,60.0,5,176.0,1.0,False,66.0,CENTER,56
57,194.0,5,153.0,2.0,True,44.0,INNER,57
58,118.0,3,173.0,1.0,True,93.0,OUTER,58
59,284.0,1,146.0,2.0,True,19.0,INNER,59
