id_phantom,Phantom_Count,Phantom_Build,Phantom_Death
1,2.0,1,True
2,2.0,4,True
3,1.0,,
4,2.0,1,False
5,2.0,3,True
6,1.0,,
7,2.0,3,False
8,2.0,4,True
9,2.0,5,False
10,1.0,,
11,2.0,4,False
12,2.0,5,False
13,1.0,,
14,2.0,3,True
15,2.0,2,True
16,1.0,,
17,2.0,5,True
18,1.0,,
19,1.0,,
20,2.0,5,False
21,1.0,,
22,2.0,4,True
23,2.0,2,True
24,2.0,3,False
25,2.0,4,True
26,2.0,1,True
27,2.0,2,False
28,2.0,2,False
29,1.0,,
30,2.0,5,True
31,2.0,1,True
32,2.0,2,False
33,2.0,3,True
34,2.0,3,True
35,2.0,3,False
36,2.0,4,False
37,2.0,3,False
38,1.0,,
39,1.0,,
40,2.0,3,True
41,2.0,1,True
42,1.0,,
43,1.0,,
44,2.0,5,True
45,2.0,3,True
46,2.0,1,False
47,1.0,,
48,1.0,,
49,1.0,,
50,2.0,2,True
51,1.0,,
52,1.0,,
53,1.0,,
54,2.0,4,False
55,2.0,2,False
56,1.0,,
57,2.0,3,False
58,2.0,1,True
59,2.0,4,False
60,1.0,,
61,1.0,,
62,1.0,,
63,2.0,2,True
64,2.0,1,False
65,1.0,,
66,2.0,1,True
67,1.0,,
68,2.0,2,False
69,2.0,5,True
70,2.0,4,True
71,2.0,2,True
72,2.0,1,True
73,2.0,1,True
74,1.0,,
75,2.0,4,True
76,2.0,1,False
77,2.0,2,False
78,2.0,3,False
79,1.0,,
80,2.0,4,False
81,1.0,,
82,2.0,4,True
83,2.0,1,False
84,1.0,,
85,1.0,,
86,1.0,,
87,2.0,5,False
88,2.0,5,False
89,2.0,3,True
90,1.0,,
91,2.0,1,False
92,2.0,1,True
93,2.0,2,True
94,2.0,2,True
95,1.0,,
96,2.0,2,True
97,1.0,,
98,2.0,4,False
99,2.0,5,True
100,2.0,5,True
101,1.0,,
102,2.0,1,True
103,1.0,,
104,1.0,,
105,1.0,,
106,1.0,,
107,1.0,,
108,2.0,1,True
109,1.0,,
110,2.0,1,True
111,2.0,2,False
112,1.0,,
113,2.0,3,True
114,2.0,4,False
115,1.0,,
116,2.0,5,False
117,2.0,5,True
118,2.0,5,False
119,1.0,,
120,2.0,3,False
121,2.0,3,True
122,2.0,4,False
123,1.0,,
124,2.0,1,False
125,1.0,,
126,2.0,4,True
127,2.0,3,True
128,2.0,4,True
129,1.0,,
130,2.0,5,False
131,2.0,2,False
132,2.0,1,True
133,2.0,2,True
134,2.0,2,False
135,2.0,2,False
136,2.0,1,False
137,2.0,3,False
138,2.0,5,True
139,1.0,,
140,2.0,1,False
141,2.0,4,True
142,2.0,2,True
143,2.0,4,False
144,2.0,5,False
145,2.0,1,False
146,2.0,3,True
147,2.0,4,True
148,2.0,3,False
149,1.0,,
150,1.0,,
151,1.0,,
152,2.0,2,True
153,1.0,,
154,2.0,4,False
155,2.0,3,True
156,1.0,,
157,1.0,,
158,1.0,,
159,2.0,4,False
160,2.0,2,True
161,1.0,,
162,2.0,4,False
163,2.0,1,False
164,2.0,3,True
165,1.0,,
166,2.0,1,False
167,2.0,3,True
168,2.0,4,False
169,2.0,3,True
170,1.0,,
171,2.0,3,False
