id_produto,nome,categoria,preco
438,Notebook,eletronico,1218.27
438,Notebook,eletronico,1218.27
356,Notebook,eletronico,4691.8
498,Relógio,eletronico,1559.9
7,Relógio,eletronico,2355.48
359,Fone,eletronico,4435.12
92,Camisa,eletronico,3324.89
47,Relógio,acessorio,364.38
313,Camisa,eletronico,1845.06
90,Fone,acessorio,1887.37
218,Celular,eletronico,136.37
39,Fone,roupa,3548.24
169,Celular,acessorio,4564.37
193,Camisa,eletronico,627.62
104,Tênis,acessorio,2469.22
496,Camisa,acessorio,4775.92
251,Relógio,eletronico,494.94
243,Fone,roupa,1771.06
231,Fone,roupa,3111.06
157,Notebook,acessorio,3612.47
208,Fone,acessorio,625.5
70,Notebook,roupa,2944.27
1,Notebook,roupa,2075.11
99,Tênis,eletronico,601.39
352,Fone,eletronico,4753.73
489,Tênis,eletronico,2253.21
327,Celular,acessorio,1718.61
263,Tênis,eletronico,3511.29
500,Fone,eletronico,4001.01
154,Camisa,roupa,4698.27
487,Tênis,eletronico,1674.87
342,Fone,roupa,3504.84
177,Relógio,roupa,1651.21
353,Celular,acessorio,2656.03
369,Relógio,roupa,1769.73
487,Fone,eletronico,2636.66
359,Fone,eletronico,2422.38
441,Relógio,roupa,1617.65
72,Tênis,roupa,2154.29
357,Camisa,acessorio,2000.03
269,Fone,eletronico,773.02
80,Celular,roupa,3879.58
80,Celular,roupa,3879.58
247,Relógio,roupa,2180.23
379,Tênis,acessorio,1794.84
202,Celular,roupa,2276.48
43,Relógio,eletronico,2717.02
199,Camisa,eletronico,3058.6
114,Fone,eletronico,1247.58
366,Celular,eletronico,3811.49
7,Celular,acessorio,3676.51
264,Camisa,eletronico,4921.28
10,Celular,eletronico,2643.68
394,Relógio,acessorio,1226.54
16,Relógio,roupa,861.31
136,Relógio,acessorio,4145.14
118,Notebook,roupa,829.02
498,Notebook,acessorio,1847.95
368,Fone,eletronico,2670.46
309,Celular,eletronico,1045.58
446,Relógio,acessorio,4157.14
62,Camisa,eletronico,2387.69
481,Fone,eletronico,987.5
123,Fone,acessorio,4581.74
110,Notebook,acessorio,2959.85
240,Celular,eletronico,4240.78
280,Celular,acessorio,138.26
198,Notebook,roupa,1055.79
481,Tênis,eletronico,4531.63
344,Relógio,eletronico,3905.04
168,Celular,roupa,3989.77
60,Relógio,eletronico,1932.03
459,Relógio,acessorio,4646.07
472,Tênis,roupa,1202.92
324,Notebook,acessorio,433.93
306,Tênis,acessorio,4574.45
73,Fone,roupa,4864.52
16,Notebook,roupa,1550.51
173,Relógio,roupa,2228.16
477,Notebook,roupa,2032.82
205,Relógio,eletronico,4371.83
4,Tênis,roupa,2573.92
154,Tênis,roupa,3898.19
154,Tênis,roupa,3898.19
226,Camisa,acessorio,2712.56
106,Relógio,roupa,4594.36
36,Notebook,acessorio,2805.04
74,Celular,eletronico,334.13
328,Relógio,roupa,2673.13
227,Relógio,roupa,1524.58
142,Fone,roupa,1781.41
57,Tênis,roupa,2764.58
152,Fone,acessorio,2408.6
240,Camisa,eletronico,344.94
409,Celular,acessorio,4903.73
492,Camisa,roupa,2507.06
382,Notebook,roupa,2974.46
474,Fone,acessorio,2541.06
378,Relógio,acessorio,536.03
500,Celular,acessorio,4215.19
269,Fone,eletronico,3871.17
378,Fone,roupa,3756.81
133,Relógio,eletronico,927.52
170,Notebook,roupa,4316.96
358,Relógio,acessorio,4771.07
228,Fone,acessorio,60.66
460,Relógio,eletronico,2023.64
208,Camisa,eletronico,1836.65
362,Tênis,roupa,2189.87
344,Relógio,eletronico,100.73
470,Tênis,roupa,3663.16
16,Fone,acessorio,2363.6
364,Celular,acessorio,2191.2
173,Camisa,eletronico,440.09
303,Camisa,roupa,111
313,Notebook,roupa,833.15
23,Relógio,roupa,3322.36
114,Fone,acessorio,3081.19
452,Celular,roupa,670.6
415,Celular,eletronico,2054.02
41,Camisa,roupa,3528.44
156,Tênis,eletronico,3808.25
232,Notebook,acessorio,3510.36
107,Notebook,eletronico,4349.94
107,Notebook,eletronico,4349.94
188,Notebook,acessorio,2937.6
201,Fone,eletronico,4301.55
233,Tênis,roupa,2850.26
479,Tênis,acessorio,484.07
142,Relógio,eletronico,4602.89
222,Camisa,roupa,4668.3
154,Camisa,roupa,3124.21
194,Tênis,eletronico,2224.16
164,Notebook,roupa,4715.98
161,Notebook,roupa,99.18
47,Celular,roupa,1667.22
60,Camisa,roupa,168.12
118,Notebook,roupa,3385.1
222,Notebook,eletronico,426.01
234,Fone,acessorio,2263.42
401,Tênis,eletronico,349.27
410,Tênis,acessorio,3641.62
33,Camisa,eletronico,2637.4
191,Fone,acessorio,3769.36
189,Camisa,acessorio,107.39
210,Relógio,eletronico,1858.92
130,Tênis,acessorio,1307.24
249,Relógio,acessorio,3571.53
390,Tênis,acessorio,3282.37
238,Notebook,acessorio,1228.14
217,Notebook,eletronico,3482.12
76,Notebook,roupa,4069.39
183,Fone,roupa,3281.83
218,Fone,acessorio,2637.82
473,Celular,eletronico,3187.39
210,Fone,acessorio,2359.14
185,Tênis,eletronico,275.37
15,Fone,eletronico,2753.33
241,Fone,acessorio,171.09
223,Relógio,eletronico,2506.97
318,Tênis,acessorio,4831.46
258,Camisa,eletronico,43.61
201,Camisa,acessorio,2075.03
428,Notebook,eletronico,1083.92
204,Notebook,roupa,2036.2
204,Notebook,roupa,2036.2
164,Notebook,acessorio,767.67
64,Fone,acessorio,4655.29
67,Fone,eletronico,4321.24
466,Camisa,roupa,1319.25
491,Relógio,eletronico,1808.08
22,Camisa,acessorio,3528.47
425,Celular,eletronico,3094.25
447,Celular,roupa,1325.25
159,Tênis,eletronico,555.74
184,Fone,acessorio,4993.45
137,Camisa,eletronico,1995.47
291,Celular,eletronico,418.86
385,Relógio,roupa,1225.48
362,Tênis,acessorio,4637.77
297,Camisa,eletronico,328.89
84,Tênis,eletronico,2975.28
374,Notebook,acessorio,1326.09
25,Fone,acessorio,4279.04
314,Fone,eletronico,3469.76
235,Notebook,acessorio,2111.82
244,Notebook,acessorio,749.94
39,Relógio,eletronico,1553.06
499,Notebook,eletronico,4932.92
2,Tênis,eletronico,890.87
212,Notebook,acessorio,3645.37
134,Tênis,roupa,4565.9
473,Celular,roupa,3796.14
64,Celular,eletronico,4831.5
341,Tênis,roupa,2475.63
473,Relógio,acessorio,1102.15
245,Notebook,roupa,603.95
374,Notebook,acessorio,3472.71
229,Fone,eletronico,1084.32
298,Notebook,roupa,1952.31
409,Relógio,roupa,1349.25
384,Tênis,acessorio,3091.26
299,Camisa,acessorio,1671.46
143,Notebook,eletronico,1175.65
475,Celular,roupa,2129.66
189,Notebook,eletronico,3572.53
189,Notebook,eletronico,3572.53
124,Fone,acessorio,3050.24
343,Celular,eletronico,3529.89
222,Camisa,eletronico,4292.54
124,Tênis,eletronico,2596.49
398,Relógio,eletronico,1720.82
21,Relógio,eletronico,4887.09
73,Relógio,roupa,1314.18
260,Tênis,eletronico,4149.17
160,Relógio,eletronico,2838.37
148,Fone,roupa,3951.9
107,Tênis,eletronico,2680.09
302,Relógio,acessorio,2119.53
360,Camisa,eletronico,4068.13
21,Camisa,acessorio,4237.64
410,Relógio,acessorio,3325.01
262,Notebook,roupa,2979.96
463,Notebook,acessorio,324.82
113,Fone,roupa,1637.2
266,Celular,roupa,1947.74
161,Celular,roupa,2226.3
265,Fone,eletronico,1640.46
434,Celular,acessorio,1913.78
23,Notebook,eletronico,4745.88
481,Notebook,eletronico,3542.12
63,Relógio,acessorio,1857.08
265,Notebook,roupa,1514.29
197,Tênis,acessorio,4242.99
456,Relógio,eletronico,3402.01
340,Relógio,eletronico,2658.46
490,Tênis,roupa,1607.72
206,Celular,acessorio,1019.71
358,Fone,roupa,3124.66
1,Camisa,roupa,353.85
443,Tênis,roupa,4430.5
341,Tênis,roupa,404.51
265,Camisa,eletronico,2359.98
376,Fone,acessorio,2414.49
408,Notebook,roupa,257.28
121,Celular,roupa,1879.34
171,Celular,eletronico,2737.86
171,Celular,eletronico,2737.86
166,Notebook,eletronico,2639.77
221,Tênis,eletronico,444.48
130,Fone,acessorio,1230.2
197,Celular,roupa,3614.86
366,Relógio,eletronico,4450.3
165,Fone,eletronico,2706.67
13,Relógio,eletronico,2523.04
117,Notebook,acessorio,4182.45
17,Camisa,acessorio,1508.06
128,Relógio,acessorio,1397.81
438,Tênis,roupa,3701.83
179,Camisa,eletronico,2068.2
427,Fone,roupa,1377.81
409,Camisa,eletronico,1263.4
498,Celular,eletronico,4607.01
247,Fone,acessorio,2904.66
468,Camisa,eletronico,372.6
77,Camisa,roupa,1869.04
294,Tênis,roupa,501.15
38,Relógio,roupa,1761.33
279,Notebook,acessorio,3306.71
103,Notebook,roupa,1566.81
349,Celular,eletronico,4851.65
74,Notebook,roupa,4981.22
497,Celular,eletronico,1368.71
175,Fone,acessorio,3869.67
137,Celular,eletronico,4859.97
183,Notebook,roupa,2804.31
63,Relógio,roupa,2752.62
219,Relógio,acessorio,4398.33
435,Relógio,roupa,3390.85
414,Camisa,acessorio,3136.88
5,Fone,eletronico,332.06
492,Camisa,acessorio,2293.08
380,Camisa,eletronico,475.09
147,Relógio,eletronico,631.23
